record_id,tweet_id,llm_polaridade,llm_marcadores_linguisticos
fnxptbr-0058,1261416145845796864,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CITACAO_CIENTIFICA, LINK_EXTERNO, SINAL_CERTEZA"
fnxptbr-0059,1265128345286709250,negativo,"APELO_A_AUTORIDADE, CAIXA_ALTA, DISCRIMINACAO, EMOJI, HASHTAG, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0060,1267220518501056512,negativo,"APELO_A_AUTORIDADE, CAIXA_ALTA, CALL_TO_ACTION, HASHTAG, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA, URL_CURTA"
fnxptbr-0061,1765076444043190309,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, DISCRIMINACAO, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, PRESENCA_DE_DATA, SINAL_CERTEZA"
fnxptbr-0062,1267942051376697345,negativo,"CALL_TO_ACTION, IRONIA_SARCASMO, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, USER_MENTION"
fnxptbr-0063,1256390443685871616,negativo,"CALL_TO_ACTION, EMOJI, IRONIA_SARCASMO, LINK_EXTERNO"
fnxptbr-0064,1423698715471134727,negativo,"APELO_A_AUTORIDADE, ASTERISCO_ENFASE, CAIXA_ALTA, POLARIZACAO_NOS_VS_ELES, PONTUACAO_INTERCALADA, SINAL_CERTEZA, USER_MENTION"
fnxptbr-0065,1276083908099047424,negativo,"ALERTA_URGENTE, CAIXA_ALTA, CALL_TO_ACTION, DISCRIMINACAO, HASHTAG, HIPERBOLE, PALAVRAO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, SINAL_CERTEZA, URL_CURTA"
fnxptbr-0066,1366077951524171785,negativo,"APELO_A_AUTORIDADE, EMOJI, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0067,1279986689579114496,positivo,"APELO_A_AUTORIDADE, HASHTAG, LINGUAGEM_TECNICA, LINK_EXTERNO, USER_MENTION"
fnxptbr-0068,1278726363818704898,negativo,"APELO_A_AUTORIDADE, CAIXA_ALTA, DISCRIMINACAO, EMOJI, IRONIA_SARCASMO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, SINAL_DUVIDA"
fnxptbr-0069,1287861057508212736,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CAIXA_ALTA, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0070,1287691285176946688,neutro,"APELO_A_AUTORIDADE, LINGUAGEM_TECNICA, PRESENCA_DE_DATA"
fnxptbr-0071,1287767047863242752,negativo,"ALERTA_URGENTE, CAIXA_ALTA, HIPERBOLE, LINK_EXTERNO, PONTUACAO_EXCESSIVA, URL_CURTA, USER_MENTION"
fnxptbr-0072,1292239076414959618,negativo,"APELO_A_AUTORIDADE, CAIXA_ALTA, CALL_TO_ACTION, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA, USER_MENTION"
fnxptbr-0073,1292923460868542468,negativo,"APELO_A_AUTORIDADE, LINK_EXTERNO, PRESENCA_DE_DATA, SINAL_CERTEZA"
fnxptbr-0074,1294759463228977157,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CAIXA_ALTA, LINK_EXTERNO, SINAL_CERTEZA"
fnxptbr-0075,1293195383934525440,neutro,"APELO_A_AUTORIDADE, CITACAO_CIENTIFICA, PRESENCA_DE_DATA"
fnxptbr-0076,1295143440980873223,negativo,"APELO_A_AUTORIDADE, CITACAO_CIENTIFICA, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0077,1269730973547212803,negativo,"APELO_A_AUTORIDADE, LINK_EXTERNO, URL_CURTA"
fnxptbr-0078,1296596698240712704,negativo,"APELO_A_AUTORIDADE, CAIXA_ALTA, HIPERBOLE, SINAL_CERTEZA"
fnxptbr-0079,1444776060294516737,negativo,"CALL_TO_ACTION, EMOJI, GIRIA, IRONIA_SARCASMO, LINK_EXTERNO, PALAVRAO, POLARIZACAO_NOS_VS_ELES"
fnxptbr-0080,1339408650062999552,negativo,"APELO_A_AUTORIDADE, LINGUAGEM_TECNICA, POLARIZACAO_NOS_VS_ELES, PRESENCA_DE_DATA, SINAL_CERTEZA"
fnxptbr-0081,1306603857317855232,negativo,"CITACAO_CIENTIFICA, LINGUAGEM_TECNICA, PRESENCA_DE_DATA, PRONOME_COLETIVO"
fnxptbr-0082,1426258912022519809,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CALL_TO_ACTION, EMOJI, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0083,1305594554490462208,negativo,"APELO_A_AUTORIDADE, DISCRIMINACAO, IRONIA_SARCASMO, LINK_EXTERNO, PALAVRAO, POLARIZACAO_NOS_VS_ELES, PRESENCA_DE_DATA, SINAL_CERTEZA"
fnxptbr-0084,1308710233599025153,negativo,"LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, PRESENCA_DE_RISADA"
fnxptbr-0085,1310299640458285057,negativo,"ALERTA_URGENTE, HIPERBOLE, LINK_EXTERNO, SINAL_CERTEZA, URL_CURTA"
fnxptbr-0086,1309870492174745601,neutro,"APELO_A_AUTORIDADE, CITACAO_CIENTIFICA, LINK_EXTERNO, PRESENCA_DE_DATA, USER_MENTION"
fnxptbr-0087,1559926178701627392,negativo,"ALERTA_URGENTE, CALL_TO_ACTION, EMOJI, HASHTAG, HIPERBOLE, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA, USER_MENTION"
fnxptbr-0088,1309084033721208836,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CITACAO_CIENTIFICA, HIPERBOLE, LINGUAGEM_COLOQUIAL, LINK_EXTERNO, SARCASMO_IRONIA, SINAL_CERTEZA, URL_CURTA"
fnxptbr-0089,1308025950324613125,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CAIXA_ALTA, LINK_EXTERNO, SINAL_CERTEZA, USER_MENTION"
fnxptbr-0090,1465457240941502464,positivo,"APELO_A_AUTORIDADE, HIPERBOLE, IRONIA_SARCASMO, PONTUACAO_EXCESSIVA, PRONOME_COLETIVO, SINAL_CERTEZA"
fnxptbr-0091,1260598876685438976,positivo,"ALERTA_URGENTE, ASTERISCO_ENFASE, CALL_TO_ACTION, EMOJI, HASHTAG, LINK_EXTERNO, PRESENCA_DE_DATA"
fnxptbr-0092,1316782584815325184,neutro,"APELO_A_AUTORIDADE, CITACAO_CIENTIFICA, EMOJI, LINK_EXTERNO, PRESENCA_DE_DATA"
fnxptbr-0093,1318710146596524032,neutro,"CALL_TO_ACTION, LINGUAGEM_TECNICA, PONTUACAO_INTERCALADA, PRESENCA_DE_DATA"
fnxptbr-0094,1315696847822958592,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CALL_TO_ACTION, EMOJI, IRONIA_SARCASMO, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA, URL_CURTA, USER_MENTION"
fnxptbr-0095,1318649483622842371,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, SINAL_CERTEZA, USER_MENTION"
fnxptbr-0096,1319061671214780420,negativo,"CAIXA_ALTA, CALL_TO_ACTION, HASHTAG, LINK_EXTERNO, SINAL_CERTEZA, URL_CURTA"
fnxptbr-0097,1319737939568492548,negativo,"CALL_TO_ACTION, EMOJI, LINGUAGEM_TECNICA, PONTUACAO_INTERCALADA, SINAL_CERTEZA"
fnxptbr-0098,1319738213880287232,negativo,"ALERTA_URGENTE, CALL_TO_ACTION, ESPACAMENTO_ENTRE_LETRAS, LINGUAGEM_TECNICA, PRESENCA_DE_DATA, SINAL_CERTEZA"
fnxptbr-0099,1154102383628247040,negativo,"EMOJI, HIPERBOLE, IRONIA_SARCASMO, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, PRESENCA_DE_RISADA"
fnxptbr-0100,1317302038280228865,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CALL_TO_ACTION, HASHTAG, LINK_EXTERNO, PONTUACAO_EXCESSIVA, SINAL_DUVIDA"
fnxptbr-0101,1580295880963289088,negativo,"APELO_A_AUTORIDADE, IRONIA_SARCASMO, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES"
fnxptbr-0102,1459177528925601794,negativo,"ALERTA_URGENTE, CAIXA_ALTA, CALL_TO_ACTION, HIPERBOLE, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, SINAL_CERTEZA"
fnxptbr-0103,1474889674552487946,negativo,"ALERTA_URGENTE, CAIXA_ALTA, CALL_TO_ACTION, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, SINAL_DUVIDA"
fnxptbr-0104,1503429350372384777,negativo,"HIPERBOLE, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0105,1319001340455145473,negativo,"APELO_A_AUTORIDADE, CITACAO_CIENTIFICA, POLARIZACAO_NOS_VS_ELES, PRONOME_COLETIVO, SINAL_CERTEZA"
fnxptbr-0106,1328498044678049797,negativo,"APELO_A_AUTORIDADE, CITACAO_DIRETA, LINK_EXTERNO, PRESENCA_DE_DATA, SINAL_CERTEZA, USER_MENTION"
fnxptbr-0107,1332351623549640705,negativo,"APELO_A_AUTORIDADE, LINK_EXTERNO, PALAVRAO, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA, USER_MENTION"
fnxptbr-0108,1441425858518913030,negativo,"CAIXA_ALTA, LOGICA_CIRCULAR, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, SINAL_CERTEZA"
fnxptbr-0109,1416191845785350151,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CALL_TO_ACTION, EMOJI, HASHTAG, HIPERBOLE, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0110,1607348429667155968,negativo,"APELO_A_AUTORIDADE, CAIXA_ALTA, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0111,1449278795463204866,negativo,"APELO_A_AUTORIDADE, CAIXA_ALTA, HIPERBOLE, IRONIA_SARCASMO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_INTERCALADA, SINAL_CERTEZA"
fnxptbr-0112,1326521227494748160,negativo,"APELO_A_AUTORIDADE, CAIXA_ALTA, ESPACAMENTO_ENTRE_LETRAS, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0113,1347693184000909315,negativo,"EMOJI, HIPERBOLE, IRONIA_SARCASMO, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, PRESENCA_DE_RISADA"
fnxptbr-0114,1339261187511422983,negativo,"HIPERBOLE, IRONIA_SARCASMO, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0115,1340863040904978433,positivo,"APELO_A_AUTORIDADE, CITACAO_CIENTIFICA, LINGUAGEM_TECNICA, LINK_EXTERNO, SINAL_CERTEZA"
fnxptbr-0116,1344971981238710272,negativo,"APELO_A_AUTORIDADE, CALL_TO_ACTION, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA, USER_MENTION"
fnxptbr-0117,1351140744178884609,negativo,"CAIXA_ALTA, LINK_EXTERNO, NEGACAO_DIRETA, SINAL_CERTEZA, URL_CURTA, USER_MENTION"
fnxptbr-0118,1351635497832108032,negativo,"LINK_EXTERNO, URL_CURTA"
fnxptbr-0119,1357324759852285954,negativo,"ASPAS_IRONIA, CALL_TO_ACTION, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0120,1332119227688316928,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CALL_TO_ACTION, HIPERBOLE, LINGUAGEM_TECNICA, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0121,1358004098012971008,negativo,"APELO_A_AUTORIDADE, CAIXA_ALTA, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, PRONOME_COLETIVO, SINAL_CERTEZA"
fnxptbr-0122,1357901989863174144,negativo,"APELO_A_AUTORIDADE, HIPERBOLE, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, SINAL_CERTEZA"
fnxptbr-0123,1367305569011458051,negativo,"ALERTA_URGENTE, EMOJI, HASHTAG, HIPERBOLE, LINK_EXTERNO, METAFORA, SINAL_DUVIDA, URL_CURTA, USER_MENTION"
fnxptbr-0124,1234410750485069825,negativo,"HIPERBOLE, IRONIA_SARCASMO, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0125,1375086630957150212,negativo,"CALL_TO_ACTION, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, SINAL_CERTEZA"
fnxptbr-0126,1382019550150074373,negativo,"APELO_A_AUTORIDADE, HIPERBOLE, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA, USER_MENTION"
fnxptbr-0127,1000519992281092098,positivo,"APELO_A_AUTORIDADE, CALL_TO_ACTION, EMOJI, LINK_EXTERNO, PRONOME_COLETIVO, SINAL_CERTEZA"
fnxptbr-0128,1393911916624556033,positivo,"LINK_EXTERNO, PRESENCA_DE_DATA, SINAL_CERTEZA"
fnxptbr-0129,1394271591089983489,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CAIXA_ALTA, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
fnxptbr-0130,1395410355665477648,negativo,"CITACAO_CIENTIFICA, EMOJI, IRONIA_SARCASMO, PONTUACAO_INTERCALADA, PRESENCA_DE_RISADA"
fnxptbr-0131,1397283090561703941,negativo,"APELO_A_AUTORIDADE, ASPAS, LINK_EXTERNO, SINAL_DUVIDA, USER_MENTION"
fnxptbr-0132,1397007132298551298,positivo,"APELO_A_AUTORIDADE, CAIXA_ALTA, CALL_TO_ACTION, EMOJI, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, PRONOME_COLETIVO, SINAL_CERTEZA, USER_MENTION"
fnxptbr-0133,1400622078169075715,negativo,"APELO_A_AUTORIDADE, ASPAS_IRONICA, IRONIA_SARCASMO, LINK_EXTERNO, URL_CURTA, USER_MENTION"
fnxptbr-0134,1398011246587351048,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CAIXA_ALTA, EMOJI, HIPERBOLE, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, SINAL_CERTEZA"
fnxptbr-0135,1404605621203312642,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CAIXA_ALTA, CALL_TO_ACTION, HIPERBOLE, LINK_EXTERNO, SINAL_CERTEZA, URL_CURTA"
fnxptbr-0136,1407631765645279235,positivo,"APELO_A_AUTORIDADE, LINK_EXTERNO, SINAL_CERTEZA, URL_CURTA"
fnxptbr-0137,1532037186782220290,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CALL_TO_ACTION, EMOJI, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, SINAL_CERTEZA"
fnxptbr-0138,1410932167014858754,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, CALL_TO_ACTION, EMOJI, LINK_EXTERNO, POLARIZACAO_NOS_VS_ELES, PONTUACAO_EXCESSIVA, SINAL_CERTEZA, USER_MENTION"
fnxptbr-0139,1414550995607113728,positivo,"APELO_A_AUTORIDADE, IRONIA_SARCASMO, POLARIZACAO_NOS_VS_ELES, URL_CURTA, USER_MENTION"
fnxptbr-0140,1420693001521803270,positivo,"APELO_A_AUTORIDADE, CALL_TO_ACTION, EMOJI, LINK_EXTERNO, PRESENCA_DE_DATA, SINAL_CERTEZA"
fnxptbr-0141,1468013432997879812,negativo,"ALERTA_URGENTE, APELO_A_AUTORIDADE, HIPERBOLE, LINK_EXTERNO, PONTUACAO_INTERCALADA, SINAL_CERTEZA"
fnxptbr-0142,1423579854193184772,negativo,"ABREVIACAO_INFORMAL, IRONIA_SARCASMO, LINGUAGEM_COLOQUIAL, LINK_EXTERNO, METAFORA, POLARIZACAO_NOS_VS_ELES, SINAL_CERTEZA"
